trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2678,False,"{'a': 0.1, 'e': 0.06870041768036357}",20,12,13.295350968628258,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2679,False,"{'a': 0.1, 'e': 0.06863175160144484}",20,12,14.463409924633023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2680,False,"{'a': 0.1, 'e': 0.06856315415428343}",25,11,23.890931483186357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2681,False,"{'a': 0.1, 'e': 0.0684946252702819}",25,20,7.613084841661351,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2682,False,"{'a': 0.1, 'e': 0.06842616488091134}",30,17,18.933640218250687,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
2683,False,"{'a': 0.1, 'e': 0.06835777291771136}",20,11,5.043515801533183,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2684,False,"{'a': 0.1, 'e': 0.06828944931229}",20,6,-29.820741776911515,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
2685,False,"{'a': 0.1, 'e': 0.06822119399632363}",20,0,35.414957525967296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2686,False,"{'a': 0.1, 'e': 0.06815300690155696}",20,8,15.753787760443982,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2687,False,"{'a': 0.1, 'e': 0.06808488795980286}",20,5,22.74817802638004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2688,False,"{'a': 0.1, 'e': 0.06801683710294239}",25,8,28.04902082861416,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2689,False,"{'a': 0.1, 'e': 0.0679488542629247}",25,12,11.936765350055184,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
2690,False,"{'a': 0.1, 'e': 0.06788093937176692}",25,11,28.143342574909255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2691,False,"{'a': 0.1, 'e': 0.06781309236155418}",20,16,9.923233907972481,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2692,False,"{'a': 0.1, 'e': 0.06774531316443945}",20,14,12.037713903226985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2693,False,"{'a': 0.1, 'e': 0.06767760171264353}",25,13,10.222991669712306,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2694,False,"{'a': 0.1, 'e': 0.06760995793845496}",25,14,19.54242448337641,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2695,False,"{'a': 0.1, 'e': 0.06754238177422997}",25,16,16.47905933996937,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2696,False,"{'a': 0.1, 'e': 0.06747487315239238}",30,18,-17.775518876232685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2697,False,"{'a': 0.1, 'e': 0.06740743200543356}",20,14,-8.867397623993924,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
2698,False,"{'a': 0.1, 'e': 0.06734005826591237}",20,14,11.716823829135022,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2699,False,"{'a': 0.1, 'e': 0.06727275186645505}",20,10,21.86010449227389,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2700,False,"{'a': 0.1, 'e': 0.06720551273975521}",20,7,19.455084784955798,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2701,False,"{'a': 0.1, 'e': 0.06713834081857371}",30,16,27.145837316049434,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2702,False,"{'a': 0.1, 'e': 0.06707123603573863}",20,15,-4.088517619463718,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
2703,False,"{'a': 0.1, 'e': 0.06700419832414516}",20,14,10.148434994189982,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2704,False,"{'a': 0.1, 'e': 0.0669372276167556}",20,10,19.905627034458437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2705,False,"{'a': 0.1, 'e': 0.06687032384659924}",35,24,22.209176394198195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2706,False,"{'a': 0.1, 'e': 0.06680348694677231}",20,6,26.657745807493953,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2707,False,"{'a': 0.1, 'e': 0.06673671685043787}",30,10,25.550624099745193,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
2708,False,"{'a': 0.1, 'e': 0.06667001349082585}",30,7,24.460392208735875,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
2709,False,"{'a': 0.1, 'e': 0.06660337680123288}",30,12,19.528858350057266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2710,False,"{'a': 0.1, 'e': 0.06653680671502225}",30,0,37.305725110706845,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
